"Statistic","CensusYear","Age Group","County and City","Socio Economic Group","Labour Force","UNIT","VALUE"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","G. Unskilled","All persons aged 15 years and over","Number","211"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","G. Unskilled","Persons at work","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","G. Unskilled","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","G. Unskilled","All persons aged 15 years and over not in labour force","Number","210"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","H. Own account workers","All persons aged 15 years and over","Number","163"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","H. Own account workers","Persons at work","Number","31"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","H. Own account workers","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","H. Own account workers","All persons aged 15 years and over not in labour force","Number","131"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","I. Farmers","All persons aged 15 years and over","Number","849"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","I. Farmers","Persons at work","Number","263"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","I. Farmers","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","I. Farmers","All persons aged 15 years and over not in labour force","Number","584"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","J. Agricultural workers","All persons aged 15 years and over","Number","53"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","J. Agricultural workers","Persons at work","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","J. Agricultural workers","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","49"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","1512"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","Z. All others gainfully occupied and unknown","Persons at work","Number","30"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","Z. All others gainfully occupied and unknown","All unemployed persons","Number","18"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","1464"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","All socio-economic groups","All persons aged 15 years and over","Number","13477"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","All socio-economic groups","Persons at work","Number","937"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","All socio-economic groups","All unemployed persons","Number","80"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","12460"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","A. Employers and managers","All persons aged 15 years and over","Number","1507"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","A. Employers and managers","Persons at work","Number","204"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","A. Employers and managers","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","1299"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","B. Higher professional","All persons aged 15 years and over","Number","468"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","B. Higher professional","Persons at work","Number","85"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","B. Higher professional","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","B. Higher professional","All persons aged 15 years and over not in labour force","Number","381"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","C. Lower professional","All persons aged 15 years and over","Number","1105"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","C. Lower professional","Persons at work","Number","63"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","C. Lower professional","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","C. Lower professional","All persons aged 15 years and over not in labour force","Number","1038"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","D. Non-manual","All persons aged 15 years and over","Number","1750"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","D. Non-manual","Persons at work","Number","126"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","D. Non-manual","All unemployed persons","Number","9"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","D. Non-manual","All persons aged 15 years and over not in labour force","Number","1615"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","E. Manual skilled","All persons aged 15 years and over","Number","1518"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","E. Manual skilled","Persons at work","Number","47"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","E. Manual skilled","All unemployed persons","Number","11"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","1460"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","F. Semi-skilled","All persons aged 15 years and over","Number","1620"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","F. Semi-skilled","Persons at work","Number","75"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","F. Semi-skilled","All unemployed persons","Number","6"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","1539"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","G. Unskilled","All persons aged 15 years and over","Number","883"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","G. Unskilled","Persons at work","Number","19"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","G. Unskilled","All unemployed persons","Number","8"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","G. Unskilled","All persons aged 15 years and over not in labour force","Number","856"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","H. Own account workers","All persons aged 15 years and over","Number","493"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","H. Own account workers","Persons at work","Number","110"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","H. Own account workers","All unemployed persons","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","H. Own account workers","All persons aged 15 years and over not in labour force","Number","380"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","I. Farmers","All persons aged 15 years and over","Number","618"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","I. Farmers","Persons at work","Number","164"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","I. Farmers","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","I. Farmers","All persons aged 15 years and over not in labour force","Number","454"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","J. Agricultural workers","All persons aged 15 years and over","Number","95"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","J. Agricultural workers","Persons at work","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Louth","J. Agricultural workers","All unemployed persons","Number","0"
